all_finite,candidate_id,candidate_ids_json,component,instability_penalty,layer,layers_json,localization_proxy,mean_abs_corruption_margin,mean_decoded_support_delta,mean_margin_distance_recovery,mean_target_margin_delta,mean_target_probability_delta,num_edits,num_prompt_types,num_rows,num_seeds,num_state_labels,pilot_acceptance_status,policy_id,position,positive_recovery_fraction,prompt_type,prompt_type_std,seed_std,selection_source,site_score,source_table,stability_score,state_label,state_label_std,target_role,weighted_margin_distance_recovery
True,L07:hidden:last_subject,,hidden,,7,,,4.539591471354167,0.0,0.16509923568794074,0.8856201171875,0.0035081991220475097,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.1614753731008829,causal_trace_summary.csv,,,,target_true,0.1614753731008829
True,L11:attention:last_subject,,attention,,11,,,3.0776808063189187,0.0,0.19631543947388044,0.269159197807312,-4.155326487934966e-05,12,,12,,,,,last_subject,0.5833333333333334,,,,,0.16028814146024847,causal_trace_summary.csv,,,,target_new,0.16028814146024847
True,L28:hidden:first_subject,,hidden,,28,,,4.539591471354167,0.0,0.1730494244645222,0.8533935546875,0.004449294973473646,12,,12,,,,,first_subject,0.9166666666666666,,,,,0.15973647649352396,causal_trace_summary.csv,,,,target_true,0.15973647649352396
True,L02:hidden:first_subject,,hidden,,2,,,4.539591471354167,0.08333333333333333,0.11157692189697727,1.2357381184895833,0.07883161258669702,12,,12,,,,,first_subject,0.75,,,,,0.15839645049970869,causal_trace_summary.csv,,,,target_true,0.15839645049970869
True,L08:hidden:first_subject,,hidden,,8,,,4.539591471354167,0.08333333333333333,0.11113276449406599,0.9027099609375,0.07772784670642825,12,,12,,,,,first_subject,0.75,,,,,0.15817684757764533,causal_trace_summary.csv,,,,target_true,0.15817684757764533
True,L09:mlp:last_subject,,mlp,,9,,,3.0776808063189187,0.0,0.1815422788829959,0.22796801726023355,0.0005751034180967451,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.1550171086751783,causal_trace_summary.csv,,,,target_new,0.1550171086751783
True,L19:hidden:first_answer_mask,,hidden,,19,,,3.0776808063189187,0.0,0.14431413250173802,-0.5075664520263672,-0.00018489300669122244,12,,12,,,,,first_answer_mask,0.6666666666666666,,,,,0.1547791947266794,causal_trace_summary.csv,,,,target_new,0.1547791947266794
True,L18:hidden:first_subject,,hidden,,18,,,4.539591471354167,0.08333333333333333,0.09635049649624752,1.2189127604166667,0.07065312240226262,12,,12,,,,,first_subject,0.5,,,,,0.15411643436561645,causal_trace_summary.csv,,,,target_true,0.15411643436561645
True,L20:hidden:last_subject,,hidden,,20,,,3.0776808063189187,0.0,0.0667436925227587,0.2997996012369792,-0.0002478770579799061,12,,12,,,,,last_subject,0.5,,,,,0.1538547556583272,causal_trace_summary.csv,,,,target_new,0.1538547556583272
True,L10:hidden:last_subject,,hidden,,10,,,3.0776808063189187,0.0,0.1018292267547344,0.4771711428960164,0.00024137112886476095,12,,12,,,,,last_subject,0.5833333333333334,,,,,0.1531683596500758,causal_trace_summary.csv,,,,target_new,0.1531683596500758
True,L15:hidden:last_subject,,hidden,,15,,,3.0776808063189187,0.0,0.11612231868847654,0.32585736115773517,0.0006382747199502603,12,,12,,,,,last_subject,0.5833333333333334,,,,,0.15285188129192706,causal_trace_summary.csv,,,,target_new,0.15285188129192706
True,L21:hidden:first_answer_mask,,hidden,,21,,,3.0776808063189187,0.0,0.06419181696779432,-0.4028489987055461,-0.0003123024264706231,12,,12,,,,,first_answer_mask,0.5833333333333334,,,,,0.1468470556296122,causal_trace_summary.csv,,,,target_new,0.1468470556296122
True,L08:hidden:last_subject,,hidden,,8,,,4.539591471354167,0.0,0.14226295700916752,0.9105631510416666,0.0014057646386334,12,,12,,,,,last_subject,0.75,,,,,0.1465692645542957,causal_trace_summary.csv,,,,target_true,0.1465692645542957
True,L19:hidden:first_subject,,hidden,,19,,,4.539591471354167,0.08333333333333333,0.08846658030640524,1.21978759765625,0.0683626463504936,12,,12,,,,,first_subject,0.5833333333333334,,,,,0.1462779545556402,causal_trace_summary.csv,,,,target_true,0.1462779545556402
True,L09:hidden:first_subject,,hidden,,9,,,4.539591471354167,0.08333333333333333,0.064610044343271,1.069091796875,0.07322260629692323,12,,12,,,,,first_subject,0.5833333333333334,,,,,0.14599560794155872,causal_trace_summary.csv,,,,target_true,0.14599560794155872
